"","Province.State","Month","Death","Case","Initial","First","Benefits"
"305","Pennsylvania","4",29754,47971,"772,678","668,855","1,110,794,776"
"306","Pennsylvania","5",133369,76129,"230,456","205,990","1,092,473,624"
"307","Pennsylvania","6",186766,91139,NA,NA,NA
"308","Pennsylvania","7",158596,109037,NA,NA,NA
"309","Puerto Rico","1",0,0,"8,762","4,684","10,650,492"
"310","Puerto Rico","2",0,0,"5,940","4,301","10,621,012"
"311","Puerto Rico","3",33,239,"96,452","3,255","10,258,621"
"312","Puerto Rico","4",1530,1539,"142,673","86,016","155,040,165"
"313","Puerto Rico","5",3633,3776,"131,246","56,703","100,262,712"
"314","Puerto Rico","6",4380,7465,NA,NA,NA
"315","Puerto Rico","7",3838,13473,NA,NA,NA
"316","Rhode Island","1",0,0,"5,841","4,953","15,425,900"
"317","Rhode Island","2",0,0,"4,673","2,717","16,294,690"
"318","Rhode Island","3",17,488,"60,006","30,611","34,686,060"
"319","Rhode Island","4",3418,8621,"71,616","57,364","112,542,105"
"320","Rhode Island","5",15471,14928,"17,057","12,222","104,942,870"
"321","Rhode Island","6",25484,16813,NA,NA,NA
"322","Rhode Island","7",22500,18148,NA,NA,NA
"323","South Carolina","1",0,0,"16,202","7,754","14,850,928"
"324","South Carolina","2",0,0,"7,914","3,612","13,179,288"
"325","South Carolina","3",123,1083,"140,472","4,399","15,610,877"
"326","South Carolina","4",3255,6095,"296,188","201,522","184,495,960"
"327","South Carolina","5",11736,11861,"99,063","65,779","240,203,804"
"328","South Carolina","6",18378,36399,NA,NA,NA
"329","South Carolina","7",22702,76606,NA,NA,NA
"330","South Dakota","1",0,0,"1,426","1,277","3,755,143"
"331","South Dakota","2",0,0,"708","632","3,993,825"
"332","South Dakota","3",21,108,"13,958","802","4,584,636"
"333","South Dakota","4",212,2449,"19,717","17,816","18,070,357"
"334","South Dakota","5",1279,4993,"9,528","6,957","19,708,822"
"335","South Dakota","6",2281,6764,NA,NA,NA
"336","South Dakota","7",2470,8143,NA,NA,NA
"337","Tennessee","1",0,0,"12,588","7,770","17,102,869"
"338","Tennessee","2",0,0,"8,120","5,007","16,911,647"
"339","Tennessee","3",72,2391,"183,318","25,132","27,155,429"
"340","Tennessee","4",3679,10735,"269,834","211,730","222,199,975"
"341","Tennessee","5",8915,22566,"110,308","104,662","280,972,012"
"342","Tennessee","6",14606,43509,NA,NA,NA
"343","Tennessee","7",17180,86987,NA,NA,NA
"344","Texas","1",0,0,"70,098","37,528","217,761,822"
"345","Texas","2",0,0,"51,410","29,460","187,184,291"
"346","Texas","3",274,3809,"556,280","72,051","243,254,973"
"347","Texas","4",11919,28727,"1,197,868","702,478","990,367,706"
"348","Texas","5",39472,64652,"570,642","460,150","1,628,480,085"
"349","Texas","6",61712,163060,NA,NA,NA
"350","Texas","7",76605,373037,NA,NA,NA
"351","Utah","1",0,0,"6,647","4,338","16,981,227"
"352","Utah","2",0,0,"4,362","2,777","16,958,570"
"353","Utah","3",18,888,"64,843","6,942","20,357,732"
"354","Utah","4",707,4672,"81,018","63,202","76,716,364"
"355","Utah","5",2469,9797,"26,684","31,213","107,522,258"
"356","Utah","6",4294,22217,NA,NA,NA
"357","Utah","7",4974,36099,NA,NA,NA
"358","Vermont","1",0,0,"2,666","2,138","8,055,507"
"359","Vermont","2",0,0,"2,487","1,237","7,543,453"
"360","Vermont","3",96,293,"47,822","4,686","9,982,327"
"361","Vermont","4",977,866,"41,114","46,715","78,074,377"
"362","Vermont","5",1654,981,"11,531","10,525","67,334,411"
"363","Vermont","6",1663,1208,NA,NA,NA
"364","Vermont","7",1288,1377,NA,NA,NA
"365","Virgin Islands","1",0,0,"157","130","817,269"
"366","Virgin Islands","2",0,0,"164","138","763,177"
"367","Virgin Islands","3",0,30,"2,615","148","910,545"
"368","Virgin Islands","4",58,66,"2,654","883","1,961,537"
"369","Virgin Islands","5",165,69,"845","2,065","4,947,051"
"370","Virgin Islands","6",180,81,NA,NA,NA
"371","Virgin Islands","7",140,336,NA,NA,NA
"372","Virginia","1",0,0,"13,522","15,716","24,094,491"
"373","Virginia","2",0,0,"11,061","12,278","24,147,923"
"374","Virginia","3",140,1249,"235,849","111,068","48,345,684"
"375","Virginia","4",7065,15847,"386,126","597,986","434,760,672"
"376","Virginia","5",30720,44607,"175,962","202,058","379,537,658"
"377","Virginia","6",47058,62787,NA,NA,NA
"378","Virginia","7",44804,81237,NA,NA,NA
"379","Washington","1",0,1,"35,855","16,736","105,675,080"
"380","Washington","2",1,7,"24,894","11,140","93,839,034"
"381","Washington","3",2293,5432,"406,263","56,552","165,709,816"
"382","Washington","4",16697,14327,"475,937","257,741","661,287,513"
"383","Washington","5",30535,21702,"344,973","78,109","930,347,288"
"384","Washington","6",36766,32824,NA,NA,NA
"385","Washington","7",32432,50009,NA,NA,NA
"386","West Virginia","1",0,0,"7,918","7,604","23,957,295"
"387","West Virginia","2",0,0,"4,655","4,549","23,535,125"
"388","West Virginia","3",2,162,"27,154","12,764","28,783,672"
"389","West Virginia","4",489,1125,"110,111","73,127","97,268,524"
"390","West Virginia","5",1929,2010,"22,408","23,149","92,441,987"
"391","West Virginia","6",2612,2905,NA,NA,NA
"392","West Virginia","7",2229,5452,NA,NA,NA
"393","Wisconsin","1",0,0,"32,573","19,152","49,514,598"
"394","Wisconsin","2",0,0,"25,273","11,626","48,162,522"
"395","Wisconsin","3",136,1412,"239,501","29,272","64,132,057"
"396","Wisconsin","4",5362,6854,"243,208","183,828","242,340,494"
"397","Wisconsin","5",13919,18403,"135,138","35,508","267,649,268"
"398","Wisconsin","6",21047,28659,NA,NA,NA
"399","Wisconsin","7",18911,45899,NA,NA,NA
"400","Wyoming","1",0,0,"2,338","1,510","6,400,982"
"401","Wyoming","2",0,0,"1,753","1,128","6,539,708"
"402","Wyoming","3",0,109,"12,775","1,921","8,576,790"
"403","Wyoming","4",77,559,"17,150","11,501","22,277,999"
"404","Wyoming","5",300,903,"10,774","5,027","24,990,430"
"405","Wyoming","6",555,1487,NA,NA,NA
"406","Wyoming","7",507,2347,NA,NA,NA
